ticker,isin,fund_name,inception_date,category,rating,risk_rating,performance_rating,equity_style_score,equity_size_score,price_prospective_earnings,price_book_ratio,price_sales_ratio,price_cash_flow_ratio,dividend_yield_factor,long_term_projected_earnings_growth,historical_earnings_growth,sales_growth,cash_flow_growth,book_value_growth,roa,roe,roic,asset_stock,asset_bond,asset_cash,asset_other,sector_basic_materials,sector_consumer_cyclical,sector_financial_services,sector_consumer_defensive,sector_communication_services,sector_industrials,sector_technology,market_cap_giant,market_cap_large,market_cap_medium,market_cap_small,market_cap_micro,ongoing_cost,management_fees,environmental_score,social_score,governance_score,sustainability_score,involvement_abortive_contraceptive,involvement_alcohol,involvement_animal_testing,involvement_controversial_weapons,involvement_gambling,involvement_gmo,involvement_military_contracting,involvement_nuclear,involvement_palm_oil,involvement_pesticides,involvement_small_arms,involvement_thermal_coal,involvement_tobacco,nav_per_share,shareclass_size,fund_size,fund_trailing_return_ytd,fund_trailing_return_3years,fund_trailing_return_5years,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2020_q3,fund_return_2020_q2,fund_return_2020_q1,fund_return_2019_q4,fund_return_2019_q3,fund_return_2019_q2,fund_return_2019_q1,fund_return_2018_q4,fund_return_2018_q3,fund_return_2018_q2,fund_return_2018_q1,fund_return_2017_q4,fund_return_2017_q3,fund_return_2017_q2,fund_return_2017_q1,fund_return_2016_q4,fund_return_2016_q3,fund_return_2016_q2,fund_return_2016_q1,fund_return_2015_q4,quarters_up,quarters_down
0P0000M86D,LU0292109690,Xtrackers Nifty 50 Swap UCITS ETF 1C,2007-07-05,India Equity,3.0,3.0,3.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13943,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.44,120100000.0,120100000.0,-1.22,2.05,9.97,5.91,-1.47,24.42,19.03,8.13,20.51,-30.21,-1.27,-2.37,4.33,5.32,5.24,-2.83,6.28,-9.34,9.81,-1.54,-0.6,15.76,-2.96,8.95,11.61,0.87,0.47,13,10
0P0000M86E,DE000ETFL052,Deka STOXX® Europe Strong Style Composite 40 UCITS ETF,2008-03-14,Europe Flex-Cap Equity,4.0,3.0,4.0,173.63,147.67,18.73,1.09,0.49,3.01,1.3,10.26,26.89,1.3,43.15,2.16,2.87,4.15,5.24,100.0,0.0,0.0,0.0,6.94,18.23,10.58,2.59,7.09,10.47,12.91,5.3,26.35,35.94,26.37,6.05,0.65574,0.18,3.47,9.62,7.44,22.4,2.79,0.0,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,31.65,18020000.0,18020000.0,11.1,8.7,16.07,24.47,-5.58,20.43,29.56,5.7,23.71,-22.56,0.79,0.88,10.25,11.03,-12.53,4.68,6.45,-3.13,-1.96,7.88,5.25,8.19,2.83,9.22,11.53,3.43,5.26,17,6
0P0000M86F,DE000ETFL045,Deka STOXX® Europe Strong Value 20 UCITS ETF,2008-03-14,Europe Large-Cap Value Equity,3.0,4.0,3.0,57.87,78.93,11.58,0.59,0.26,1.41,2.25,7.76,31.0,0.92,45.19,1.82,-3.09,-11.51,-4.1,100.0,0.0,0.0,0.0,4.4,20.71,20.61,0.0,5.28,20.4,7.49,0.0,9.01,27.82,51.39,11.78,0.66552,0.18,4.42,8.71,7.47,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,17.26,18320000.0,18320000.0,-7.46,-2.89,8.29,11.54,-8.71,14.39,40.1,-0.62,15.31,-30.63,-1.31,1.67,5.5,5.35,-6.11,3.58,3.47,-9.28,-4.37,7.44,4.72,6.32,8.04,14.15,9.4,3.84,0.67,15,8
0P0000M86H,DE000ETFL177,Deka Deutsche Börse EUROGOV® Germany UCITS ETF,2009-03-16,EUR Government Bond,2.0,2.0,2.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14961,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.07,157670000.0,157670000.0,7.07,1.25,5.61,-4.76,2.18,2.92,17.78,-0.22,2.72,5.45,-6.0,-0.33,4.86,-3.05,1.85,0.07,1.59,-1.32,0.54,0.81,1.8,-0.24,-1.99,4.95,4.91,9.15,0.17,14,9
0P0000M86I,IE00B1FZS574,iShares MSCI Turkey UCITS ETF USD (Dist),2006-11-03,Turkey Equity,2.0,3.0,2.0,154.78,129.74,6.21,0.75,0.19,3.7,1.39,11.26,-7.33,22.52,54.45,14.2,4.91,17.64,13.01,99.61,0.0,0.39,0.0,12.55,3.82,34.05,17.92,9.58,16.48,0.0,0.0,0.0,89.67,10.33,0.0,0.74,0.0,8.45,11.54,10.04,30.02,0.0,2.41,0.0,0.0,0.0,0.0,7.45,0.0,0.0,0.0,7.45,0.0,0.0,11.17,119580000.0,119580000.0,-21.0,-18.49,-8.96,6.38,-37.87,26.11,4.91,-20.92,20.69,-26.9,-6.41,15.51,4.29,-5.64,8.82,-20.28,-21.69,-8.56,3.25,-3.04,14.38,10.15,-10.18,-2.34,-0.77,20.53,5.5,9,14
0P0000M86J,LU0322253229,Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C,2008-01-15,Sector Equity Infrastructure,3.0,4.0,3.0,119.64,228.28,17.74,1.64,2.22,8.13,4.13,5.58,0.51,-1.72,7.94,3.94,2.41,7.35,5.54,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.38,0.0,15.47,51.27,30.92,2.34,0.0,0.6,0.4,8.51,8.81,5.19,23.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.05,0.0,0.0,0.0,18.87,0.0,38.28,187830000.0,187830000.0,-9.48,0.55,8.6,21.46,-5.91,8.78,32.09,-2.15,14.97,-26.14,-1.79,3.31,7.46,11.39,-3.47,-0.86,9.3,-10.05,1.23,-0.42,1.41,6.42,0.29,6.55,11.67,10.69,0.82,14,9
0P0000M86K,DE000ETFL219,Deka Deutsche Börse EUROGOV® Germany 10+ UCITS ETF,2009-03-16,EUR Bond - Long Term,3.0,3.0,3.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14798,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.49,59960000.0,59960000.0,13.77,8.3,10.81,3.04,7.32,1.17,26.64,1.21,2.65,9.94,-10.42,4.58,8.97,0.93,4.42,-0.37,3.66,-0.49,1.52,1.07,0.78,-2.16,-7.7,4.18,11.56,18.04,-1.35,16,7
0P0000M86L,IE00B296QM64,iShares MSCI USA Islamic UCITS ETF USD (Dist),2007-12-07,Islamic Equity - Other,3.0,3.0,3.0,141.09,270.82,19.71,2.65,2.32,12.31,2.54,8.37,6.94,4.36,6.13,3.58,7.66,16.83,11.43,99.75,0.0,0.25,0.0,8.25,5.94,0.0,11.09,0.43,7.46,22.42,49.72,30.37,19.57,0.34,0.0,0.5,0.0,5.79,10.73,7.55,24.08,23.69,0.0,47.83,0.0,0.0,0.47,1.65,1.38,0.0,0.47,0.0,0.18,0.0,33.67,75790000.0,75790000.0,7.03,0.6,7.19,-3.97,-2.37,4.5,29.36,-0.21,3.73,4.44,-3.37,-1.13,4.71,-4.0,1.57,0.72,1.59,-6.06,5.35,-0.03,-2.97,2.25,7.05,5.24,11.3,3.17,10.49,14,9
0P0000M86N,DE000ETFL185,Deka Deutsche Börse EUROGOV® Germany 1-3 UCITS ETF,2009-03-16,EUR Government Bond - Short Term,2.0,1.0,2.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14997,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.21,297320000.0,297320000.0,5.23,-0.44,4.25,-6.39,0.54,2.87,15.93,-0.62,3.09,3.85,-4.59,-1.41,4.01,-4.32,0.94,0.24,0.87,-1.49,0.46,0.37,2.34,-0.31,-1.32,4.07,4.84,7.67,0.07,14,9
0P0000M86O,IE00B0M62Q58,iShares MSCI World UCITS ETF USD (Dist),2005-10-28,Global Large-Cap Blend Equity,4.0,3.0,4.0,158.16,291.16,18.01,2.22,1.74,11.59,2.31,9.05,4.86,4.38,6.5,5.19,7.09,20.82,12.13,99.7,0.0,0.28,0.03,4.2,11.06,14.3,8.37,9.47,10.65,19.44,47.19,36.27,16.26,0.29,0.0,0.5,0.0,4.2,10.51,7.98,22.77,8.83,1.01,19.61,1.45,0.33,0.04,1.89,2.04,0.01,0.42,0.76,1.91,0.78,45.37,5114990000.0,5114990000.0,8.29,9.02,13.82,23.79,-4.44,12.12,27.68,4.43,19.48,-16.64,1.3,3.94,6.57,10.33,-11.87,5.82,8.73,-5.77,5.43,1.37,-0.01,4.91,7.31,8.75,7.71,1.58,9.52,17,6
0P0000M86P,DE000ETFL193,Deka Deutsche Börse EUROGOV® Germany 3-5 UCITS ETF,2009-03-16,EUR Government Bond,1.0,1.0,1.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14944,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87,81420000.0,81420000.0,6.02,0.44,5.01,-5.75,1.58,2.66,17.59,-0.28,2.31,5.0,-5.32,-1.01,4.45,-3.72,1.47,0.09,1.41,-1.37,0.3,0.77,1.84,-0.27,-1.39,4.36,5.36,8.45,0.21,14,9
0P0000M86Q,IE00B27YCN58,iShares MSCI World Islamic UCITS ETF USD (Dist),2007-12-07,Islamic Global Equity,2.0,3.0,2.0,148.94,283.47,18.07,2.11,1.61,10.6,2.9,9.61,1.83,3.38,6.91,3.3,6.59,14.47,10.21,99.76,0.0,0.24,0.0,13.12,7.26,0.15,11.83,0.98,11.46,16.71,52.12,33.3,14.42,0.16,0.0,0.6,0.0,6.38,9.79,7.59,23.77,18.32,0.0,43.13,0.0,0.0,0.22,0.87,1.8,0.0,1.06,0.0,2.69,0.0,26.34,168540000.0,168540000.0,7.05,0.68,7.97,-3.55,-1.78,9.44,27.32,-0.21,3.75,4.44,-3.21,-1.13,4.98,-4.0,1.7,0.72,1.77,-5.78,4.78,1.61,-1.08,3.92,4.67,7.18,10.51,2.69,8.74,15,8
0P0000M86S,DE000ETFL201,Deka Deutsche Börse EUROGOV® Germany 5-10 UCITS ETF,2009-03-16,EUR Government Bond,3.0,3.0,3.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14955,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.17,193400000.0,193400000.0,8.0,2.44,6.65,-3.49,3.15,2.91,19.8,0.02,2.96,5.81,-6.73,0.25,5.53,-2.2,2.47,-0.11,2.2,-1.39,0.67,1.04,1.87,-0.68,-2.86,5.1,5.88,10.83,0.2,15,8
0P0000M86T,DE000A0F5UF5,iShares NASDAQ-100® UCITS ETF (DE),2006-03-27,US Large-Cap Growth Equity,5.0,4.0,5.0,222.75,351.5,27.19,6.51,4.27,16.55,0.89,13.02,10.0,11.54,10.14,8.91,11.51,31.39,17.66,99.89,0.0,0.11,0.0,0.0,18.36,1.85,4.93,20.66,2.73,44.25,66.72,27.1,6.18,0.0,0.0,0.31,0.0,2.65,10.89,8.16,21.88,2.28,0.0,8.94,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.31,0.0,97.72,2448920000.0,2448920000.0,35.96,23.81,25.3,34.67,4.33,20.19,26.68,9.37,27.82,-3.96,5.67,4.7,6.62,14.18,-15.16,9.38,14.35,-1.69,7.3,2.44,0.06,9.27,6.47,14.42,4.91,-0.88,15.42,17,6
0P0000M86U,DE000ETFL227,Deka Deutsche Börse EUROGOV® Germany Money Market UCITS ETF,2009-03-16,EUR Money Market,3.0,3.0,3.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,84.66,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11939,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.35,63850000.0,63850000.0,5.17,-0.52,4.08,-6.4,0.21,2.91,15.15,-0.41,2.36,4.29,-4.42,-1.22,3.54,-4.26,0.71,0.45,0.58,-1.51,0.55,0.12,2.34,-0.12,-1.24,3.73,4.6,7.46,-0.06,13,10
0P0000M86V,DE000A0H08D2,iShares Nikkei 225® UCITS ETF (DE),2006-07-05,Japan Large-Cap Equity,5.0,3.0,4.0,179.5,288.1,20.48,1.7,1.19,10.02,2.06,12.72,1.35,3.58,3.27,5.46,5.38,8.97,7.73,99.38,0.0,0.62,0.0,6.52,20.22,2.44,6.43,10.88,19.44,17.12,55.18,33.42,11.17,0.22,0.01,0.51,0.0,4.5,9.25,8.75,22.92,7.13,2.0,22.23,0.0,0.7,0.0,0.07,0.07,0.0,0.91,0.0,0.03,2.26,20.51,17771640000.0,17771640000.0,13.5,8.37,13.39,17.47,-4.43,14.83,25.24,2.9,20.56,-15.01,0.24,5.98,5.65,4.66,-13.01,7.5,5.98,-3.57,11.26,-1.23,0.93,3.53,5.01,10.14,10.45,-1.96,11.24,16,7
0P0000M86W,DE000ETFL169,Deka iBoxx EUR Liquid Sovereign Diversified 10+ UCITS ETF,2009-03-03,EUR Bond - Long Term,4.0,3.0,4.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15036,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.81,19410000.0,19410000.0,18.55,11.55,13.2,12.85,3.0,3.46,25.47,4.04,7.27,5.36,-10.53,9.06,14.15,1.32,3.15,-1.05,-1.2,2.15,3.01,1.16,3.66,-4.22,-8.74,6.71,9.93,17.2,0.05,17,6
0P0000M86X,IE0031442068,iShares Core S&P 500 UCITS ETF USD Dist,2002-03-15,US Large-Cap Blend Equity,5.0,2.0,4.0,157.02,300.35,19.42,3.1,2.26,13.08,1.97,9.24,11.25,6.92,7.58,6.68,8.87,26.75,14.77,99.77,0.0,0.23,0.0,2.28,11.0,13.14,7.37,11.04,8.94,24.16,48.6,34.7,16.12,0.58,0.0,0.07,0.0,3.83,10.8,7.9,22.54,9.12,0.18,17.78,1.89,0.11,0.07,2.41,2.19,0.0,0.12,0.75,1.62,0.67,30.01,11134300000.0,11134300000.0,11.75,12.95,17.0,27.17,-0.12,11.24,32.08,5.84,19.49,-14.68,1.76,5.26,6.76,11.21,-11.92,8.48,10.54,-5.44,6.77,1.05,-1.04,4.19,9.6,6.77,9.5,3.09,11.34,17,6
0P0000M86Y,DE000ETFL110,Deka iBoxx EUR Liquid Sovereign Diversified 1-10 UCITS ETF,2009-03-02,EUR Government Bond,4.0,3.0,3.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14981,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.36,59890000.0,59890000.0,9.21,3.39,7.48,-0.74,2.13,4.43,19.17,0.97,3.81,4.48,-6.38,1.43,6.41,-1.76,2.99,-0.36,0.33,-0.79,1.33,1.01,2.89,-0.84,-3.49,5.91,5.45,10.56,0.78,15,8
0P0000M86Z,IE00B2NPL135,iShares Emerging Market Infrastructure UCITS ETF USD (Dist),2008-02-15,Sector Equity Infrastructure,2.0,4.0,1.0,84.23,229.94,10.83,0.9,0.93,4.95,4.74,9.38,5.56,-1.02,8.4,1.37,4.51,10.4,7.64,98.75,0.06,1.2,0.0,0.0,0.0,0.0,0.0,0.0,45.06,0.0,0.0,69.92,30.08,0.0,0.0,0.74,0.0,8.77,9.69,6.51,26.98,1.44,0.0,1.44,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0,16.89,0.0,13.51,41640000.0,41640000.0,-25.77,-9.14,0.8,11.51,-9.03,10.01,24.14,-8.54,12.48,-34.45,6.25,-0.47,4.42,0.99,2.01,2.19,-6.75,-6.42,-0.98,2.69,-1.91,10.29,-1.36,4.1,8.77,11.14,4.51,13,10
0P0000M870,DE000ETFL128,Deka iBoxx EUR Liquid Sovereign Diversified 1-3 UCITS ETF,2009-03-02,EUR Government Bond - Short Term,4.0,3.0,4.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14983,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.56,130900000.0,130900000.0,5.98,0.33,4.94,-5.41,1.02,3.45,16.44,-0.07,2.88,3.98,-4.65,-0.81,4.19,-4.01,1.54,0.18,0.58,-1.26,0.7,0.57,2.37,-0.22,-1.23,4.26,4.85,7.83,0.28,14,9
0P0000M871,IE00B1XNHC34,iShares Global Clean Energy UCITS ETF USD (Dist),2007-07-09,Sector Equity Alternative Energy,3.0,4.0,4.0,242.46,168.73,28.66,2.91,3.07,5.35,1.35,16.0,9.9,1.41,7.75,2.74,3.66,5.14,7.24,99.64,0.03,0.33,0.0,0.0,0.0,0.0,0.0,0.0,18.54,26.76,4.93,28.03,50.48,16.56,0.0,0.65,0.0,0.0,0.0,0.0,27.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,2983810000.0,2983810000.0,87.15,36.32,24.84,39.79,-4.03,9.96,0.02,43.27,27.25,-11.58,1.69,5.52,12.39,15.92,-0.94,-0.44,-1.04,-1.67,4.17,1.5,-2.03,6.15,-6.99,7.28,2.84,-2.52,11.83,13,10
0P0000M872,DE000ETFL136,Deka iBoxx EUR Liquid Sovereign Diversified 3-5 UCITS ETF,2009-03-02,EUR Government Bond,2.0,2.0,2.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14964,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.36,44280000.0,44280000.0,7.12,1.24,5.82,-3.97,1.28,3.8,17.52,0.35,3.35,3.99,-5.23,-0.15,4.86,-3.22,2.01,-0.02,0.33,-1.03,0.66,0.84,3.21,-0.91,-1.41,4.3,5.29,8.56,0.54,14,9
0P0000M873,IE00B1TXK627,iShares Global Water UCITS ETF USD (Dist),2007-03-16,Sector Equity Water,4.0,2.0,4.0,165.36,149.13,21.29,2.69,1.66,11.36,2.28,10.59,4.2,2.49,4.52,4.35,4.77,11.78,7.56,99.83,0.0,0.17,0.0,1.61,2.02,0.0,0.0,0.0,56.23,0.0,0.0,22.82,54.93,18.42,3.82,0.65,0.0,8.0,8.29,5.57,26.75,6.21,0.0,6.21,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.9,2.29,0.0,44.9,1529780000.0,1529780000.0,9.93,10.59,15.48,31.04,-6.3,16.37,26.12,6.48,12.83,-14.99,2.75,5.39,8.32,11.72,-7.8,5.27,5.27,-8.29,5.14,2.16,0.7,7.58,-1.15,6.88,12.94,5.7,8.89,17,6
0P0000M874,DE000ETFL144,Deka iBoxx EUR Liquid Sovereign Diversified 5-7 UCITS ETF,2009-03-03,EUR Government Bond,4.0,2.0,4.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1498799999999999,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.6,242160000.0,242160000.0,9.12,2.87,7.18,-1.69,1.81,4.57,18.8,0.87,3.93,4.46,-6.18,0.96,5.98,-2.07,2.5,-0.25,0.29,-0.71,1.17,1.02,3.04,-0.71,-2.89,5.01,5.92,9.99,0.95,15,8
0P0000M875,IE00B1TXHL60,iShares Listed Private Equity UCITS ETF USD (Dist),2007-03-16,Sector Equity Private Equity,3.0,5.0,3.0,97.27,113.42,11.46,1.19,2.33,5.78,7.23,10.45,1.6,-7.3,-2.22,4.36,4.15,7.42,9.69,88.47,0.01,0.38,11.13,0.0,3.73,95.01,0.0,0.0,1.26,0.0,7.77,14.2,31.96,29.7,16.37,0.75,0.0,0.0,0.0,0.0,0.0,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0,18.12,547470000.0,547470000.0,-6.54,6.69,13.47,40.04,-9.18,14.44,35.43,-1.25,27.41,-30.51,2.32,7.75,11.97,13.44,-15.48,6.41,9.04,-7.39,1.59,1.73,3.64,6.85,8.78,12.79,6.3,3.84,6.67,17,6
0P0000M876,DE000ETFL151,Deka iBoxx EUR Liquid Sovereign Diversified 7-10 UCITS ETF,2009-03-03,EUR Government Bond,5.0,4.0,5.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15018,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.08,117160000.0,117160000.0,10.13,4.37,8.48,0.95,2.48,4.94,20.56,1.25,4.54,4.21,-6.78,2.0,7.39,-1.14,2.81,0.02,0.04,-0.37,1.68,1.26,3.07,-1.12,-3.51,5.85,5.79,11.58,0.96,16,7
0P0000M877,DE000ETFL086,Deka MSCI Europe LC UCITS ETF,2008-08-14,Europe Large-Cap Blend Equity,3.0,2.0,3.0,145.42,302.09,14.13,1.51,1.21,8.67,3.11,8.64,-1.92,1.07,9.03,2.54,4.97,14.54,9.56,100.0,0.0,0.0,0.0,6.98,9.33,15.61,16.99,4.94,11.18,7.2,57.42,41.25,1.33,0.0,0.0,0.3105199999999999,0.18,4.78,9.51,7.91,22.2,16.99,4.89,38.19,1.51,0.36,0.0,1.51,2.16,0.0,1.73,1.39,2.86,1.46,89.51,32549999.0,32549999.0,-2.65,2.09,8.09,19.22,-9.21,14.36,18.05,-0.78,16.18,-20.15,1.16,1.01,7.19,8.85,-8.86,1.91,3.84,-5.86,1.6,3.15,2.76,6.19,5.04,7.06,6.59,-1.52,5.74,16,7
0P0000M878,LU0322248146,Xtrackers SLI UCITS ETF 1D,2008-01-25,Switzerland Equity,2.0,5.0,2.0,162.91,288.14,16.32,2.07,1.79,14.6,3.33,6.93,6.81,1.39,9.64,0.66,7.08,20.01,13.54,100.0,0.0,0.0,0.0,12.68,5.92,24.67,8.39,1.72,13.84,3.64,36.97,56.06,6.97,0.0,0.0,0.3145,0.19485,3.49,9.84,8.17,21.49,22.52,0.0,44.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,157.88,73770000.0,73770000.0,8.63,8.46,12.08,27.01,-8.9,14.39,15.91,1.98,16.24,-12.11,2.3,1.95,11.69,9.03,-11.49,6.87,3.15,-6.63,1.59,0.34,4.16,7.74,4.38,8.62,5.84,-3.4,8.32,17,6
0P0000M879,IE00B2QWCY14,iShares S&P SmallCap 600 UCITS ETF USD (Dist),2008-05-09,US Small-Cap Equity,3.0,3.0,3.0,142.45,16.1,14.58,1.47,0.82,7.15,2.03,10.99,0.28,4.57,4.3,3.09,2.24,5.67,4.31,99.71,0.06,0.23,0.0,5.73,13.57,16.25,3.5,2.86,17.74,14.85,0.0,0.0,1.29,51.67,47.04,0.4,0.0,0.0,0.0,0.0,28.2,0.96,0.07,8.24,1.05,0.16,0.0,3.96,0.0,0.0,0.32,0.33,0.01,0.7,55.57,1013710000.0,1013710000.0,-2.2,4.16,11.95,19.22,-5.85,3.65,48.4,-1.37,24.36,-30.25,0.4,3.1,4.4,10.33,-19.68,5.76,15.61,-4.13,4.4,2.41,-2.3,-0.78,17.55,11.59,8.92,3.86,9.03,15,8
0P0000M87A,DE000ETFL292,Deka MSCI Europe MC UCITS ETF,2009-06-09,Europe Mid-Cap Equity,3.0,2.0,3.0,165.77,196.59,16.01,1.49,0.99,9.15,2.21,10.22,1.96,1.43,3.24,6.85,5.31,13.38,9.59,99.24,0.0,0.0,0.76,10.68,12.72,12.83,5.45,6.97,24.76,5.98,0.0,40.92,58.84,0.24,0.0,0.3054,0.18,4.76,8.64,7.3,20.79,1.2,0.59,15.91,0.32,1.08,0.0,1.36,3.15,0.0,0.0,0.13,1.75,0.76,11.07,11950000.0,11950000.0,3.88,4.67,10.41,24.32,-12.9,19.3,15.27,4.81,21.65,-23.4,4.39,1.57,6.94,9.64,-15.12,2.25,4.98,-4.41,2.25,4.85,3.75,7.25,2.15,10.03,2.15,0.4,7.96,18,5
0P0000M87B,LU0274221281,Xtrackers Switzerland UCITS ETF 1D,2007-01-22,Switzerland Equity,3.0,3.0,2.0,165.25,340.16,16.35,2.86,2.42,15.38,3.12,6.78,8.13,1.48,7.12,-2.11,8.78,24.04,15.69,100.0,0.0,0.0,0.0,8.03,2.45,14.13,27.15,1.12,6.87,0.0,68.27,30.8,0.93,0.0,0.0,0.33495,0.2,3.9,11.16,8.08,23.14,37.54,0.0,71.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,103.26,883450000.0,1277860000.0,6.68,10.17,11.48,27.72,-3.12,11.4,10.45,0.48,13.11,-6.82,1.09,2.91,11.05,10.55,-5.62,8.86,2.33,-7.86,0.96,-1.47,4.33,7.34,0.8,5.32,9.84,-5.29,5.31,16,7
